model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_perplexity,tsne_init
lingxusb/megaDNA,-11.535285,-3.0874608,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,5,pca
lingxusb/PlasmidGPT,-42.38431,17.190176,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,5,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,21.354427,10.941257,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,5,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,-57.732323,17.713326,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,5,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,-31.460405,-6.910122,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,5,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,3.4733913,0.17705268,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,5,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,5.728841,5.054778,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,5,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,-9.498582,-0.58358204,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,5,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,1.7800208,4.959919,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,5,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,0.17238332,8.303531,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,5,pca
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,2.807918,5.493296,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,5,pca
InstaDeepAI/NTv3_650M_pre,34.53124,8.611607,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8951982046421899,5,pca
InstaDeepAI/NTv3_100M_pre,34.972424,16.836634,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.891746815167064,5,pca
