model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_perplexity,tsne_init
lingxusb/megaDNA,0.46820506,0.92129683,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,40,pca
lingxusb/PlasmidGPT,-1.5354347,3.3252263,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,40,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,4.0359206,-1.2873657,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,40,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,-3.2585893,4.363461,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,40,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,-0.45284238,-0.44668913,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,40,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,1.6650252,-0.9674339,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,40,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,3.1558177,-1.6785619,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,40,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,1.1082133,0.19649997,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,40,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,1.7469654,-1.7668425,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,40,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,2.790932,-2.742351,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,40,pca
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,2.1511405,-1.7747375,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,40,pca
InstaDeepAI/NTv3_650M_pre,7.0008984,-1.7769703,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8951982046421899,40,pca
InstaDeepAI/NTv3_100M_pre,5.857357,-0.44054005,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.891746815167064,40,pca
InstaDeepAI/NTv3_8M_pre,5.8151603,-0.5239447,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.884685370229313,40,pca
InstaDeepAI/NTv3_650M_pre_8kb,7.33748,-1.9428384,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9072923951387537,40,pca
InstaDeepAI/NTv3_100M_pre_8kb,6.425364,-1.4964113,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8989671953699293,40,pca
InstaDeepAI/NTv3_8M_pre_8kb,5.8509903,-0.64967096,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8859891698556498,40,pca
InstaDeepAI/NTv3_5downsample_pre,7.501116,-2.0344,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.902615287066897,40,pca
InstaDeepAI/NTv3_5downsample_pre_8kb,7.6364493,-2.1359074,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9100300437386563,40,pca
InstaDeepAI/agro-nucleotide-transformer-1b,4.4736695,1.059266,V_d,tsne,AgroNT,mlm_or_encoder,InstaDeepAI,0.8430997842169101,40,pca
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,-0.41479132,-1.1847218,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.884701633913021,40,pca
kuleshov-group/caduceus-ph_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,-2.1876016,-0.24594152,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8599849636540228,40,pca
kuleshov-group/caduceus-ph_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,-1.8482668,-0.48621818,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8733538576992442,40,pca
kuleshov-group/caduceus-ps_seqlen-131k_d_model-256_n_layer-16,-0.39904276,-1.2395111,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8866102313993073,40,pca
kuleshov-group/caduceus-ps_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,-1.7515912,-0.58828753,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8801137007974275,40,pca
kuleshov-group/caduceus-ps_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,-2.1655056,-0.37151054,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8589845702949933,40,pca
LongSafari/hyenadna-tiny-1k-seqlen,-1.9468137,0.4931083,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8593370657548011,40,pca
LongSafari/hyenadna-tiny-1k-seqlen-d256,-2.079563,0.38764456,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8684343145836461,40,pca
