label,perplexity,init,trustworthiness,family_silhouette,median_nn,p05_nn,rounded_0_unique
p40_pca,40,pca,0.9207789752316128,-0.2745616137981415,0.2554326355457306,0.023798184469342232,57
p30_pca,30,pca,0.9195008508224617,-0.26284316182136536,0.4040493667125702,0.03128136321902275,74
p30_random,30,random,0.9103346568349404,-0.2606295049190521,0.36181551218032837,0.024613769724965096,77
p15_pca,15,pca,0.9079372282094914,-0.2593511939048767,0.7144566178321838,0.03421127051115036,99
p20_pca,20,pca,0.9018793722820949,-0.2580094039440155,0.608929455280304,0.0446038581430912,96
p20_random,20,random,0.8981660049158631,-0.28671523928642273,0.537311851978302,0.04653001204133034,85
p10_pca,10,pca,0.8902552467385139,-0.2808683216571808,1.505792498588562,0.9207550883293152,121
p5_pca,5,pca,0.8651540934013991,-0.2835167646408081,1.558894157409668,1.0138143301010132,123
