model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
lingxusb/megaDNA,1.6495519,5.358864,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,p10_ee12_auto_euc,10,12,auto,euclidean,pca
lingxusb/PlasmidGPT,-10.569488,17.7863,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,16.088139,-13.893061,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,-18.608633,16.698238,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,-10.3045435,1.9338477,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,6.1736054,-4.85855,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,7.6830397,-9.210859,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,5.0067744,2.9176393,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,3.3630571,-6.558634,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,3.3557298,-10.33644,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,4.036441,-7.6273613,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/NTv3_650M_pre,27.118721,-20.075218,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8951982046421899,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/NTv3_100M_pre,25.401615,-14.251291,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.891746815167064,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/NTv3_8M_pre,24.142523,-14.181667,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.884685370229313,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/NTv3_650M_pre_8kb,27.133514,-21.595646,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9072923951387537,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/NTv3_100M_pre_8kb,26.183254,-18.910036,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8989671953699293,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/NTv3_8M_pre_8kb,24.4801,-15.402211,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8859891698556498,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/NTv3_5downsample_pre,28.941315,-21.473127,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.902615287066897,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/NTv3_5downsample_pre_8kb,28.747238,-22.695879,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9100300437386563,p10_ee12_auto_euc,10,12,auto,euclidean,pca
InstaDeepAI/agro-nucleotide-transformer-1b,20.885279,-1.4079674,V_d,tsne,AgroNT,mlm_or_encoder,InstaDeepAI,0.8430997842169101,p10_ee12_auto_euc,10,12,auto,euclidean,pca
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,-11.797031,-4.4393444,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.884701633913021,p10_ee12_auto_euc,10,12,auto,euclidean,pca
kuleshov-group/caduceus-ph_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,-16.10821,3.3795009,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8599849636540228,p10_ee12_auto_euc,10,12,auto,euclidean,pca
kuleshov-group/caduceus-ph_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,-15.303563,1.8226075,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8733538576992442,p10_ee12_auto_euc,10,12,auto,euclidean,pca
kuleshov-group/caduceus-ps_seqlen-131k_d_model-256_n_layer-16,-12.670125,-4.5072117,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8866102313993073,p10_ee12_auto_euc,10,12,auto,euclidean,pca
kuleshov-group/caduceus-ps_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,-16.211273,0.65917957,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8801137007974275,p10_ee12_auto_euc,10,12,auto,euclidean,pca
kuleshov-group/caduceus-ps_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,-17.015242,2.2541428,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8589845702949933,p10_ee12_auto_euc,10,12,auto,euclidean,pca
