model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
lingxusb/megaDNA,-1.4069487,7.9714046,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,p12_ee24_auto_euc,12,24,auto,euclidean,pca
lingxusb/PlasmidGPT,15.929114,16.028845,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,p12_ee24_auto_euc,12,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,-6.126224,-7.93587,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,p12_ee24_auto_euc,12,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,13.0898,12.987564,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,p12_ee24_auto_euc,12,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,5.629181,4.9863696,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,p12_ee24_auto_euc,12,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,-0.65025234,-2.3559008,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,p12_ee24_auto_euc,12,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-3.2177498,-4.080991,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,p12_ee24_auto_euc,12,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,-3.1315172,6.753196,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,p12_ee24_auto_euc,12,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,-2.5077908,-0.7314821,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,p12_ee24_auto_euc,12,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,-4.9811196,-1.5003122,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,p12_ee24_auto_euc,12,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,-2.9321783,-1.2872381,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,p12_ee24_auto_euc,12,24,auto,euclidean,pca
