model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
lingxusb/megaDNA,9.609943,-6.0064616,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,p10_ee24_auto_euc,10,24,auto,euclidean,pca
lingxusb/PlasmidGPT,12.745657,-40.870502,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,-0.49935606,22.209114,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,-4.5303607,-33.587975,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,-4.8237224,-21.941341,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,2.381991,6.018683,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,4.2543736,11.380692,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,7.261797,-2.7474399,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,6.674306,5.702732,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,9.655546,9.339594,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,6.8612123,7.366832,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/NTv3_650M_pre,-1.772874,37.98877,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8951982046421899,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/NTv3_100M_pre,4.006318,31.252056,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.891746815167064,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/NTv3_8M_pre,2.952207,32.61308,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.884685370229313,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/NTv3_650M_pre_8kb,-1.0817168,39.82697,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9072923951387537,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/NTv3_100M_pre_8kb,-1.036538,36.21309,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8989671953699293,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/NTv3_8M_pre_8kb,2.0402703,31.259434,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8859891698556498,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/NTv3_5downsample_pre,-3.2426286,40.510246,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.902615287066897,p10_ee24_auto_euc,10,24,auto,euclidean,pca
InstaDeepAI/NTv3_5downsample_pre_8kb,-2.353497,41.91904,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9100300437386563,p10_ee24_auto_euc,10,24,auto,euclidean,pca
