model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
lingxusb/megaDNA,13.647774,5.3579164,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,p8_ee24_auto_euc,8,24,auto,euclidean,pca
lingxusb/PlasmidGPT,31.701256,-21.382065,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,-13.47115,10.779635,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,25.557568,-10.5705385,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,9.444012,-5.629929,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,-3.0778277,4.864674,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-2.9787858,2.5391333,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,14.109591,7.938773,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,0.30629995,4.798011,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,0.38447297,8.07885,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,-0.1910728,5.549396,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/NTv3_650M_pre,-23.618689,13.555396,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8951982046421899,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/NTv3_100M_pre,-21.477072,19.001616,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.891746815167064,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/NTv3_8M_pre,-20.612967,18.535555,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.884685370229313,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/NTv3_650M_pre_8kb,-24.054342,12.382959,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9072923951387537,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/NTv3_100M_pre_8kb,-22.77692,14.330933,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8989671953699293,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/NTv3_8M_pre_8kb,-21.2592,17.800386,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8859891698556498,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/NTv3_5downsample_pre,-25.540522,12.8221655,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.902615287066897,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/NTv3_5downsample_pre_8kb,-25.712183,11.91169,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9100300437386563,p8_ee24_auto_euc,8,24,auto,euclidean,pca
InstaDeepAI/agro-nucleotide-transformer-1b,-5.05467,20.44431,V_d,tsne,AgroNT,mlm_or_encoder,InstaDeepAI,0.8430997842169101,p8_ee24_auto_euc,8,24,auto,euclidean,pca
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,2.094016,-8.944032,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.884701633913021,p8_ee24_auto_euc,8,24,auto,euclidean,pca
kuleshov-group/caduceus-ph_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,9.649707,-12.28948,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8599849636540228,p8_ee24_auto_euc,8,24,auto,euclidean,pca
kuleshov-group/caduceus-ph_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,8.260782,-12.220039,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8733538576992442,p8_ee24_auto_euc,8,24,auto,euclidean,pca
kuleshov-group/caduceus-ps_seqlen-131k_d_model-256_n_layer-16,2.302139,-9.453144,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8866102313993073,p8_ee24_auto_euc,8,24,auto,euclidean,pca
kuleshov-group/caduceus-ps_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,7.7465534,-13.261759,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8801137007974275,p8_ee24_auto_euc,8,24,auto,euclidean,pca
kuleshov-group/caduceus-ps_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,9.173494,-13.284731,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8589845702949933,p8_ee24_auto_euc,8,24,auto,euclidean,pca
LongSafari/hyenadna-tiny-1k-seqlen,14.175506,-8.000325,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8593370657548011,p8_ee24_auto_euc,8,24,auto,euclidean,pca
