model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
lingxusb/megaDNA,-6.479411,-3.200982,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,p10_ee36_auto_euc,10,36,auto,euclidean,pca
lingxusb/PlasmidGPT,-16.865673,19.382128,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,p10_ee36_auto_euc,10,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,10.695637,-19.573421,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,p10_ee36_auto_euc,10,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,-17.524479,6.592067,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,p10_ee36_auto_euc,10,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,-7.6215787,13.370323,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,p10_ee36_auto_euc,10,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,4.637709,-8.8412075,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,p10_ee36_auto_euc,10,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,8.22547,-11.055545,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,p10_ee36_auto_euc,10,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,-4.995028,-6.223345,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,p10_ee36_auto_euc,10,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,6.1563516,-6.306906,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,p10_ee36_auto_euc,10,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,9.572232,-6.7063675,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,p10_ee36_auto_euc,10,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,7.095454,-6.989025,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,p10_ee36_auto_euc,10,36,auto,euclidean,pca
