model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
lingxusb/megaDNA,8.4270935,16.059381,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,p8_ee12_auto_euc,8,12,auto,euclidean,pca
lingxusb/PlasmidGPT,-7.08081,41.45482,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,p8_ee12_auto_euc,8,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,18.979025,-6.8056135,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,p8_ee12_auto_euc,8,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,-13.790301,30.514282,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,p8_ee12_auto_euc,8,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,-5.6948304,14.248227,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,p8_ee12_auto_euc,8,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,8.599362,1.8697474,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,p8_ee12_auto_euc,8,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,14.201591,0.17263117,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,p8_ee12_auto_euc,8,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,7.1436152,12.190312,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,p8_ee12_auto_euc,8,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,5.618155,2.8713138,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,p8_ee12_auto_euc,8,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,3.7465243,0.17605764,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,p8_ee12_auto_euc,8,12,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,5.491967,1.8806633,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,p8_ee12_auto_euc,8,12,auto,euclidean,pca
