model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
lingxusb/megaDNA,2.4564404,2.2681408,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,p15_ee24_auto_euc,15,24,auto,euclidean,pca
lingxusb/PlasmidGPT,9.519408,9.595318,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,p15_ee24_auto_euc,15,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,-5.141891,-7.086566,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,p15_ee24_auto_euc,15,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,2.8984303,16.014011,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,p15_ee24_auto_euc,15,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,-1.4071897,7.195635,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,p15_ee24_auto_euc,15,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,-2.2948236,-1.9206163,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,p15_ee24_auto_euc,15,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-4.2705517,-3.8479598,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,p15_ee24_auto_euc,15,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,1.2539527,-0.019190766,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,p15_ee24_auto_euc,15,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,-3.6163566,-0.74960256,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,p15_ee24_auto_euc,15,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,-5.645743,-1.7322483,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,p15_ee24_auto_euc,15,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,-3.8947093,-1.2686075,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,p15_ee24_auto_euc,15,24,auto,euclidean,pca
