model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_perplexity,tsne_init
lingxusb/megaDNA,-3.3300533,0.13052104,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,20,pca
lingxusb/PlasmidGPT,-6.706413,8.884951,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,20,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,6.5859604,-2.885552,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,20,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,-9.304812,0.8931593,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,20,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,-1.3062143,4.307207,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,20,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,2.50017,-0.36305788,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,20,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,4.23654,-2.2751477,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,20,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,-0.122375414,0.4649363,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,20,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,1.5117428,-1.782197,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,20,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,1.9749073,-3.5367038,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,20,pca
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,1.9541856,-2.012305,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,20,pca
InstaDeepAI/NTv3_650M_pre,12.180311,-5.4061723,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8951982046421899,20,pca
