model_id,x,y,embedding_input,method,family,branch,organization,param_count,mean_auc,auc_Yeast_H4,auc_enhancer,auc_5mC,auc_promoter_arabidopsis_TATA,auc_mouse_TFBS_3,auc_promoter_tata_300bps
RaphaelMourad/ModernBert-DNA-v1-37M-virus,-11.809895,22.693527,V_d,tsne,ModernBERT-DNA,mlm_or_encoder,RaphaelMourad,36783616,0.7175569356285602,0.742276773878698,0.7926249999999999,0.5516374628216734,0.7979615194258847,0.7685990098190187,0.652241847826087
RaphaelMourad/ModernBERT-DNA-v1-37M-Athaliana,-23.494238,25.27179,V_d,tsne,ModernBERT-DNA,mlm_or_encoder,RaphaelMourad,36783616,0.6703268332023103,0.7183417174526463,0.68715,0.5254105780421571,0.7519152643735049,0.7600301359429074,0.5791133034026466
RaphaelMourad/ModernBERT-DNA-v1-37M-hg38,-16.792412,26.858868,V_d,tsne,ModernBERT-DNA,mlm_or_encoder,RaphaelMourad,36783616,0.6887707783859928,0.7172478980599164,0.714425,0.5364367806802017,0.7640023096593254,0.776095739572467,0.6244169423440453
RaphaelMourad/Jamba-DNA-v1-114M-hg38,-13.021073,4.238061,V_d,tsne,Jamba-DNA,ar_or_generative,RaphaelMourad,114216320,0.8491731838293114,0.9197011606052777,0.7818999999999999,0.6836164813138497,0.9587663944568176,0.9248422830460484,0.8262127835538753
plant-llms/PlantBiMoE,23.173157,0.31639653,V_d,tsne,PlantBiMoE,mlm_or_encoder,plant-llms,140784128,0.8831416997893283,0.9560120805618458,0.782475,0.7839393669985775,0.9865931493854656,0.935547166062292,0.8542834357277883
GenSLM-25M,-0.5960095,7.9737563,V_d,tsne,GenSLM,ar_or_generative,GenSLM,25000000,0.8187124537715601,0.8844568306509217,0.79135,0.7037352094917885,0.9313881671203498,0.8090176013776431,0.7923269139886578
GenSLM-250M,-1.7063771,7.3576217,V_d,tsne,GenSLM,ar_or_generative,GenSLM,250000000,0.8332770033831376,0.8883191824934861,0.7996249999999999,0.7344053084184663,0.9465891281036047,0.8338383587501865,0.7968850425330813
GenSLM-2.5B,-0.50706464,6.6172905,V_d,tsne,GenSLM,ar_or_generative,GenSLM,2500000000,0.8577640682538047,0.8951356065863885,0.7847500000000001,0.8168522888917625,0.955028664521983,0.8812113986720316,0.8136064508506616
Hengchang-Liu/D3LM-from-nt,6.7033324,-5.910465,V_d,tsne,D3LM,mlm_or_encoder,Hengchang-Liu,55905164,0.8832184453373992,0.9431270907528145,0.7893999999999999,0.8232089745247639,0.9684097376886909,0.9349055354097329,0.8402593336483932
Hengchang-Liu/D3LM-scratch,-8.619315,10.096239,V_d,tsne,D3LM,mlm_or_encoder,Hengchang-Liu,55905164,0.8586873230205744,0.9023921336190519,0.8117749999999999,0.8044177550756498,0.9477156025736204,0.8802510224694915,0.8055724243856334
JadenLong/MutBERT,-10.028215,-6.8259087,V_d,tsne,MutBERT,mlm_or_encoder,JadenLong,85663506,0.8981685232496104,0.9548055441572061,0.824525,0.8191860371136687,0.973085766724408,0.9496671799711888,0.8677416115311909
JadenLong/MutBERT-Multi,-8.493595,-6.758742,V_d,tsne,MutBERT,mlm_or_encoder,JadenLong,85663506,0.8864963088581912,0.949544783693099,0.7862,0.8182242499676708,0.9664815845912729,0.9515051413243257,0.8470220935727787
JadenLong/MutBERT-Human-Ref,-9.587942,-7.8503094,V_d,tsne,MutBERT,mlm_or_encoder,JadenLong,85663506,0.8982997255603392,0.9545541472261483,0.8166000000000001,0.8209115964050174,0.9733126082652809,0.9494312254731508,0.8749887759924385
HuggingFaceBio/Carbon-500M,21.599812,-27.970987,V_d,tsne,Carbon,ar_or_generative,HuggingFaceBio,511894528,0.9101119311604692,0.9558837435894838,0.800025,0.8714034010086642,0.9837859853171658,0.9481893596940043,0.9013840973534973
HuggingFaceBio/Carbon-3B,26.46136,-31.805214,V_d,tsne,Carbon,ar_or_generative,HuggingFaceBio,3451444224,0.9233890367837617,0.9566562983902153,0.79455,0.9171670923315661,0.9849021488080508,0.9676700942162171,0.9193885869565217
HuggingFaceBio/Carbon-8B,26.45543,-33.284557,V_d,tsne,Carbon,ar_or_generative,HuggingFaceBio,8255705088,0.9172279433913282,0.9555994180931491,0.8049,0.8818880932367774,0.9830564835436774,0.9666931598032885,0.9112305056710776
